time;utilityPicked;utilityLost;picks_por_minuto;totalPicks
15-03-2021 14:54:52;0;0;0.0;0
15-03-2021 14:54:57;2;0;12.170385395537517;2
15-03-2021 14:55:02;5;0;20.3942895989122;5
15-03-2021 14:55:07;11;0;33.91572456320633;11
15-03-2021 14:55:12;17;0;41.9580419580416;17
15-03-2021 14:55:17;24;0;49.98264491495961;24
15-03-2021 14:55:22;33;5;58.9110383814337;33
15-03-2021 14:55:27;40;6;62.3214749415737;40
15-03-2021 14:55:32;49;6;67.80442804428095;49
15-03-2021 14:55:37;57;7;70.79279652246001;57
15-03-2021 14:55:42;63;8;71.17303709282739;63
15-03-2021 14:55:47;73;11;75.56935817805534;73
15-03-2021 14:55:52;81;13;77.49960133950106;81
15-03-2021 14:55:58;89;24;78.98239905339646;89
15-03-2021 14:56:03;97;34;80.20948180816096;97
15-03-2021 14:56:08;107;45;82.88148721921235;107
15-03-2021 14:56:13;115;50;83.77853326857957;115
15-03-2021 14:56:18;123;55;84.5264001832578;123
15-03-2021 14:56:23;131;63;85.19401690873906;131
15-03-2021 14:56:28;140;75;86.41086307993307;140
15-03-2021 14:56:33;149;78;87.55263931055059;149
15-03-2021 14:56:38;157;85;88.02915615363375;157
15-03-2021 14:56:43;165;93;88.38496562807227;165
15-03-2021 14:56:48;173;99;88.86225494392946;173
15-03-2021 14:56:53;181;109;89.19185282523345;181
15-03-2021 14:56:58;190;111;90.00473709142945;190
15-03-2021 14:57:03;198;112;90.2666970594969;198
15-03-2021 14:57:08;206;112;90.50966608084569;206
15-03-2021 14:57:13;215;115;91.19185635515474;215
15-03-2021 14:57:18;222;119;90.94633346988998;222
15-03-2021 14:57:23;231;121;91.5395284327322;231
15-03-2021 14:57:28;238;123;91.32770529547122;238
15-03-2021 14:57:33;247;124;91.90127744015736;247
15-03-2021 14:57:38;256;128;92.41321220142994;256
15-03-2021 14:57:43;262;128;91.81706676011665;262
15-03-2021 14:57:48;270;128;91.96185286103238;270
15-03-2021 14:57:53;275;128;91.07970854492916;275
15-03-2021 14:57:58;281;128;90.56725397507127;281
15-03-2021 14:58:03;289;128;90.73308565747037;289
15-03-2021 14:58:08;295;129;90.30151522881009;295
15-03-2021 14:58:13;304;132;90.7643312101859;304
15-03-2021 14:58:18;312;132;90.91350590063064;312
15-03-2021 14:58:23;318;132;90.46512730547987;318
15-03-2021 14:58:28;322;132;89.4817284979791;322
15-03-2021 14:58:33;325;132;88.2712416821266;325
15-03-2021 14:58:38;329;132;87.379930060637;329
15-03-2021 14:58:43;332;132;86.26737690008412;332
15-03-2021 14:58:48;336;132;85.474433986256;336
15-03-2021 14:58:53;341;132;84.9456115585745;341
15-03-2021 14:58:58;349;132;85.1704221914836;349
15-03-2021 14:59:03;356;132;85.16406841831689;356
15-03-2021 14:59:08;364;132;85.4593833150648;364
15-03-2021 14:59:13;374;139;86.12219834202428;374
15-03-2021 14:59:18;381;140;86.0984520356964;381
15-03-2021 14:59:23;390;145;86.51926347703039;390
15-03-2021 14:59:28;397;149;86.47353517751232;397
15-03-2021 14:59:33;404;149;86.44484861451963;404
15-03-2021 14:59:38;409;149;85.98157037243742;409
15-03-2021 14:59:43;417;149;86.15405805584263;417
15-03-2021 14:59:48;422;149;85.72589382447582;422
15-03-2021 14:59:53;429;149;85.69716340390558;429
15-03-2021 14:59:58;434;149;85.27639507465614;434
15-03-2021 15:00:03;442;149;85.44915581903885;442
15-03-2021 15:00:08;452;150;86.01059274998185;452
15-03-2021 15:00:13;459;156;85.97920764258586;459
15-03-2021 15:00:18;468;157;86.33093525178802;468
15-03-2021 15:00:23;476;161;86.49041519032272;476
15-03-2021 15:00:28;483;164;86.45326810058283;483
15-03-2021 15:00:33;490;165;86.42991533394954;490
15-03-2021 15:00:38;497;165;86.39471549425245;497
15-03-2021 15:00:43;502;165;86.01782042493745;502
15-03-2021 15:00:48;507;165;85.67566045174341;507
15-03-2021 15:00:53;517;168;86.15230794866382;517
15-03-2021 15:00:58;524;171;86.12282912396812;524
15-03-2021 15:01:03;530;172;85.96685680299454;530
15-03-2021 15:01:08;540;177;86.4322680467257;540
15-03-2021 15:01:13;548;188;86.56960058975669;548
15-03-2021 15:01:18;553;188;86.22437046853098;553
15-03-2021 15:01:23;560;188;86.2179569423297;560
15-03-2021 15:01:28;566;188;86.03785057382692;566
15-03-2021 15:01:33;572;188;85.86225013133306;572
15-03-2021 15:01:38;576;188;85.41558537850045;576
15-03-2021 15:01:43;584;188;85.55523000291767;584
15-03-2021 15:01:48;593;193;85.83628862993619;593
15-03-2021 15:01:53;602;205;86.11071377484083;602
15-03-2021 15:01:58;609;215;86.09599208311454;609
15-03-2021 15:02:03;618;216;86.3711537117573;618
15-03-2021 15:02:08;626;218;86.48200594044442;626
15-03-2021 15:02:13;635;222;86.74665877369438;635
15-03-2021 15:02:18;643;226;86.8508138042687;643
15-03-2021 15:02:23;650;228;86.8287469943764;650
15-03-2021 15:02:28;660;229;87.1939404614981;660
15-03-2021 15:02:33;667;234;87.16865239265945;667
15-03-2021 15:02:38;675;234;87.27319743135322;675
15-03-2021 15:02:43;684;235;87.49413721057789;684
15-03-2021 15:02:48;691;236;87.46650914536312;691
15-03-2021 15:02:53;700;239;87.68999498912947;700
15-03-2021 15:02:58;706;239;87.5278948673307;706
15-03-2021 15:03:03;715;242;87.7462109590584;715
15-03-2021 15:03:08;723;244;87.82976655664623;723
15-03-2021 15:03:13;728;249;87.55963596999773;728
15-03-2021 15:03:18;738;253;87.89027609613333;738
15-03-2021 15:03:23;745;257;87.86931650644344;745
15-03-2021 15:03:28;754;261;88.07382315148716;754
15-03-2021 15:03:33;762;261;88.15023329347413;762
15-03-2021 15:03:38;769;263;88.11901988119725;769
15-03-2021 15:03:43;778;263;88.31542303616254;778
15-03-2021 15:03:48;786;269;88.40400404902796;786
15-03-2021 15:03:53;795;277;88.58596738846869;795
15-03-2021 15:03:58;802;278;88.55192212140972;802
15-03-2021 15:04:03;810;278;88.61982823069538;810
15-03-2021 15:04:08;820;280;88.90334471729105;820
15-03-2021 15:04:13;828;283;88.97485493229536;828
15-03-2021 15:04:18;835;283;88.93070150524859;835
15-03-2021 15:04:23;845;284;89.20402561756147;845
15-03-2021 15:04:28;853;285;89.29443785330035;853
15-03-2021 15:04:33;860;285;89.25636989499928;860
15-03-2021 15:04:38;869;285;89.4170911148813;869
15-03-2021 15:04:43;874;285;89.16699256941531;874
15-03-2021 15:04:48;879;285;88.93610563059518;879
15-03-2021 15:04:53;885;285;88.80192655027032;885
15-03-2021 15:04:58;895;285;89.07540722555824;895
15-03-2021 15:05:03;905;291;89.33712837893493;905
15-03-2021 15:05:08;912;291;89.29358202379342;912
15-03-2021 15:05:13;918;291;89.1536232822409;918
15-03-2021 15:05:18;923;291;88.91957418795725;923
15-03-2021 15:05:23;927;291;88.60073913597878;927
15-03-2021 15:05:28;932;291;88.3747392376295;932
15-03-2021 15:05:33;941;293;88.5355412334805;941
15-03-2021 15:05:38;950;295;88.68696612780765;950
15-03-2021 15:05:43;957;295;88.65762900287751;957
15-03-2021 15:05:48;964;295;88.62194710876115;964
15-03-2021 15:05:53;973;295;88.77602226244197;973
15-03-2021 15:05:58;982;300;88.93450664896359;982
15-03-2021 15:06:03;989;302;88.89754460608121;989
15-03-2021 15:06:08;996;303;88.87434749632763;996
15-03-2021 15:06:13;1005;308;89.0220857446647;1005
15-03-2021 15:06:18;1014;313;89.16768037989547;1014
15-03-2021 15:06:23;1019;313;88.95549315448179;1019
15-03-2021 15:06:28;1029;317;89.19902912622412;1029
15-03-2021 15:06:33;1039;321;89.41993229675786;1039
15-03-2021 15:06:38;1047;323;89.4795316639719;1047
15-03-2021 15:06:43;1054;325;89.44710824459132;1054
15-03-2021 15:06:48;1063;329;89.58368447666854;1063
15-03-2021 15:06:53;1071;329;89.63468217769223;1071
15-03-2021 15:06:58;1080;334;89.76809907739694;1080
15-03-2021 15:07:03;1086;335;89.64587403352799;1086
15-03-2021 15:07:08;1094;335;89.689284835912;1094
15-03-2021 15:07:13;1101;335;89.65676361614386;1101
15-03-2021 15:07:18;1109;335;89.69951874470738;1109
15-03-2021 15:07:23;1116;335;89.66736300821117;1116
15-03-2021 15:07:28;1124;335;89.70948174951073;1124
15-03-2021 15:07:33;1134;335;89.91555549683845;1134
15-03-2021 15:07:38;1143;337;90.03426500901006;1143
15-03-2021 15:07:43;1147;337;89.7659979652172;1147
15-03-2021 15:07:48;1157;338;89.9619003188112;1157
15-03-2021 15:07:53;1165;341;90.00656700276106;1165
15-03-2021 15:07:58;1172;341;89.97389835715065;1172
15-03-2021 15:08:03;1179;341;89.93592351507205;1179
15-03-2021 15:08:08;1186;341;89.90410733915613;1186
15-03-2021 15:08:13;1195;343;90.02900516067841;1195
15-03-2021 15:08:18;1204;356;90.14675052412937;1204
15-03-2021 15:08:23;1212;362;90.18863712469984;1212
15-03-2021 15:08:28;1219;365;90.15605354635645;1219
15-03-2021 15:08:33;1228;368;90.27641638896485;1228
15-03-2021 15:08:38;1235;370;90.30418250952754;1235
15-03-2021 15:08:43;1243;375;90.34415088856385;1243
15-03-2021 15:08:48;1250;381;90.31139368544991;1250
15-03-2021 15:08:53;1258;382;90.34543844112125;1258
15-03-2021 15:08:58;1264;382;90.2470369841729;1264
15-03-2021 15:09:03;1273;384;90.35738368174985;1273
15-03-2021 15:09:08;1282;386;90.46112594232739;1282
15-03-2021 15:09:13;1289;386;90.42335527472005;1289
15-03-2021 15:09:18;1294;386;90.25178434429262;1294
15-03-2021 15:09:23;1299;386;90.08738268068511;1299
15-03-2021 15:09:28;1309;397;90.26963657681307;1309
15-03-2021 15:09:33;1319;402;90.43951271915347;1319
15-03-2021 15:09:38;1324;402;90.27170145796389;1324
15-03-2021 15:09:43;1334;404;90.44987625862883;1334
15-03-2021 15:09:48;1340;409;90.3462147857914;1340
15-03-2021 15:09:53;1351;413;90.58400196681502;1351
15-03-2021 15:09:58;1357;423;90.48576921797321;1357
15-03-2021 15:10:03;1366;423;90.58255324324988;1366
15-03-2021 15:10:08;1372;423;90.48540274360853;1372
15-03-2021 15:10:13;1379;423;90.44995408634581;1379
15-03-2021 15:10:18;1384;423;90.28442202316481;1384
15-03-2021 15:10:23;1389;423;90.12067996023447;1389
15-03-2021 15:10:28;1396;423;90.09260952342862;1396
15-03-2021 15:10:33;1404;423;90.12420964794133;1404
15-03-2021 15:10:38;1414;433;90.28797650216855;1414
15-03-2021 15:10:43;1422;436;90.32299044052901;1422
15-03-2021 15:10:48;1431;444;90.4208264880877;1431
15-03-2021 15:10:53;1438;458;90.39666408233865;1438
15-03-2021 15:10:58;1448;463;90.5509349009124;1448
15-03-2021 15:11:03;1454;474;90.46414202168253;1454
15-03-2021 15:11:08;1464;486;90.62116350809363;1464
15-03-2021 15:11:13;1472;494;90.64876681962687;1472
15-03-2021 15:11:18;1482;498;90.80325960422269;1482
15-03-2021 15:11:23;1489;509;90.77331057399489;1489
15-03-2021 15:11:28;1498;526;90.86956961311881;1498
15-03-2021 15:11:33;1506;539;90.89994567735587;1506
15-03-2021 15:11:38;1515;546;90.99463441982944;1515
15-03-2021 15:11:43;1523;568;91.02409578551188;1523
15-03-2021 15:11:48;1531;579;91.04875558774683;1531
15-03-2021 15:11:53;1540;584;91.13684335118666;1540
15-03-2021 15:11:58;1547;591;91.11076210298255;1547
15-03-2021 15:12:03;1555;596;91.13909212573377;1555
15-03-2021 15:12:08;1564;605;91.22991221165977;1564
15-03-2021 15:12:13;1574;620;91.37350516664327;1574
15-03-2021 15:12:18;1580;621;91.28023417042463;1580
15-03-2021 15:12:23;1589;622;91.36472098977168;1589
15-03-2021 15:12:28;1598;629;91.45277133949227;1598
15-03-2021 15:12:33;1607;638;91.54000246844474;1607
15-03-2021 15:12:38;1615;645;91.56972623584917;1615
15-03-2021 15:12:43;1624;651;91.65130366082094;1624
15-03-2021 15:12:48;1632;653;91.67595097886812;1632
15-03-2021 15:12:53;1640;660;91.70037090194327;1640
15-03-2021 15:12:58;1648;664;91.72456656249912;1648
15-03-2021 15:13:03;1656;670;91.74430522344217;1656
15-03-2021 15:13:08;1666;670;91.87415556846037;1666
15-03-2021 15:13:13;1673;677;91.84233640759129;1673
15-03-2021 15:13:18;1679;684;91.7603337402231;1679
15-03-2021 15:13:23;1689;692;91.89669556389588;1689
15-03-2021 15:13:28;1698;707;91.9735309783628;1698
15-03-2021 15:13:33;1705;708;91.93770164736783;1705
15-03-2021 15:13:38;1715;711;92.06735500961217;1715
15-03-2021 15:13:43;1721;713;91.98207748019661;1721
15-03-2021 15:13:48;1729;717;92.00397318106702;1729
15-03-2021 15:13:53;1736;720;91.972697812862;1736
15-03-2021 15:13:58;1746;724;92.09994197602097;1746
15-03-2021 15:14:03;1754;727;92.11701066124436;1754
15-03-2021 15:14:08;1761;729;92.08565377680658;1761
15-03-2021 15:14:13;1770;734;92.15470188565362;1770
15-03-2021 15:14:18;1778;734;92.17529550014387;1778
15-03-2021 15:14:23;1785;734;92.14012870371221;1785
15-03-2021 15:14:28;1793;737;92.15666118425108;1793
15-03-2021 15:14:33;1803;738;92.27934590684019;1803
15-03-2021 15:14:38;1810;745;92.24810152391844;1810
15-03-2021 15:14:43;1820;753;92.36546952451128;1820
15-03-2021 15:14:48;1827;753;92.3341279133844;1827
15-03-2021 15:14:53;1834;753;92.30691798579787;1834
15-03-2021 15:14:58;1844;754;92.42258439078279;1844
15-03-2021 15:15:03;1849;755;92.28772741267466;1849
15-03-2021 15:15:08;1853;755;92.10428212843125;1853
15-03-2021 15:15:13;1859;755;92.02514726997923;1859
15-03-2021 15:15:18;1868;755;92.09077613268983;1868
15-03-2021 15:15:23;1875;755;92.05767310938242;1875
15-03-2021 15:15:28;1884;755;92.12638853803337;1884
15-03-2021 15:15:33;1892;758;92.14210923616915;1892
15-03-2021 15:15:38;1901;760;92.21366146288186;1901
15-03-2021 15:15:43;1910;778;92.27721815594823;1910
15-03-2021 15:15:48;1916;780;92.19960540883021;1916
15-03-2021 15:15:53;1923;780;92.16685571873407;1923
15-03-2021 15:15:58;1933;781;92.27758063750531;1933
15-03-2021 15:16:03;1941;784;92.29598751004933;1941
15-03-2021 15:16:08;1947;787;92.21588083458113;1947
15-03-2021 15:16:13;1955;788;92.23438384605282;1955
15-03-2021 15:16:18;1958;788;92.01416084468218;1958
15-03-2021 15:16:23;1967;788;92.0765197853396;1967
15-03-2021 15:16:28;1971;788;91.90525039638875;1971
15-03-2021 15:16:33;1975;788;91.7353068681934;1975
15-03-2021 15:16:38;1979;788;91.56667386413663;1979
15-03-2021 15:16:43;1984;788;91.44542772865825;1984
15-03-2021 15:16:48;1988;788;91.27919434330593;1988
15-03-2021 15:16:53;1993;788;91.16691825630026;1993
15-03-2021 15:16:58;2004;791;91.32198137716595;2004
15-03-2021 15:17:03;2012;795;91.33967888871551;2012
15-03-2021 15:17:08;2020;796;91.36412977932409;2020
15-03-2021 15:17:13;2030;810;91.47165730426016;2030
15-03-2021 15:17:18;2037;816;91.44712721944546;2037
15-03-2021 15:17:23;2046;823;91.50882214822215;2046
15-03-2021 15:17:28;2053;825;91.48773404836706;2053
15-03-2021 15:17:33;2063;838;91.59661378171796;2063
15-03-2021 15:17:38;2072;844;91.66046110407123;2072
15-03-2021 15:17:43;2079;865;91.63569046329374;2079
15-03-2021 15:17:48;2087;872;91.65501643236666;2087
15-03-2021 15:17:53;2095;876;91.67420286477441;2095
15-03-2021 15:17:58;2104;886;91.73685243190192;2104
15-03-2021 15:18:03;2112;889;91.75228620462163;2112
15-03-2021 15:18:08;2118;890;91.68765016130139;2118
15-03-2021 15:18:13;2129;904;91.84575894627292;2129
15-03-2021 15:18:18;2136;919;91.82094342871714;2136
15-03-2021 15:18:23;2144;921;91.8358605329012;2144
15-03-2021 15:18:28;2152;923;91.85393857912877;2152
15-03-2021 15:18:33;2162;929;91.956956318367;2162
15-03-2021 15:18:38;2170;943;91.97448449789704;2170
15-03-2021 15:18:43;2178;957;91.99189052209583;2178
15-03-2021 15:18:48;2188;964;92.09335606208931;2188
15-03-2021 15:18:53;2195;978;92.06828572631834;2195
15-03-2021 15:18:58;2203;998;92.08839594252993;2203
15-03-2021 15:19:03;2211;1005;92.10197450642214;2211
15-03-2021 15:19:08;2220;1011;92.16015941221652;2220
15-03-2021 15:19:13;2227;1019;92.13520334289785;2227
15-03-2021 15:19:18;2234;1033;92.11358201164919;2234
15-03-2021 15:19:23;2242;1052;92.13320000552845;2242
15-03-2021 15:19:28;2250;1067;92.15268676282786;2250
15-03-2021 15:19:33;2259;1082;92.20972712620006;2259
15-03-2021 15:19:38;2268;1091;92.26325674113892;2268
15-03-2021 15:19:43;2276;1096;92.28211729889217;2276
15-03-2021 15:19:48;2285;1108;92.33815566157095;2285
15-03-2021 15:19:53;2293;1125;92.35664514055189;2293
15-03-2021 15:19:58;2301;1133;92.36883304569264;2301
15-03-2021 15:20:03;2310;1142;92.42711195288979;2310
15-03-2021 15:20:08;2318;1162;92.44205754702584;2318
15-03-2021 15:20:13;2325;1170;92.41715580411288;2325
15-03-2021 15:20:18;2334;1183;92.47165562831512;2334
15-03-2021 15:20:23;2343;1190;92.52580033703478;2343
15-03-2021 15:20:28;2350;1194;92.4978351571004;2350
15-03-2021 15:20:33;2360;1204;92.5938035390176;2360
15-03-2021 15:20:38;2368;1228;92.64113297606931;2368
15-03-2021 15:20:43;2376;1236;92.65505878687834;2376
15-03-2021 15:20:48;2385;1246;92.71076960957775;2385
15-03-2021 15:20:53;2392;1265;92.68563605135408;2392
15-03-2021 15:20:58;2400;1272;92.69928737427992;2400
15-03-2021 15:21:03;2410;1277;92.78985600251589;2410
15-03-2021 15:21:08;2416;1277;92.72929647024873;2416
15-03-2021 15:21:13;2427;1282;92.85450116695036;2427
15-03-2021 15:21:18;2434;1292;92.83226118136868;2434
15-03-2021 15:21:23;2443;1311;92.88325908845545;2443
15-03-2021 15:21:28;2451;1321;92.89603678956126;2451
15-03-2021 15:21:33;2459;1327;92.90873483169707;2459
15-03-2021 15:21:38;2467;1329;92.91843742354644;2467
15-03-2021 15:21:43;2475;1330;92.93098700848842;2475
15-03-2021 15:21:48;2483;1341;92.94055996411923;2483
15-03-2021 15:21:53;2492;1351;92.9902793067305;2492
15-03-2021 15:21:58;2500;1360;93.0024924668511;2500
15-03-2021 15:22:03;2507;1363;92.97754371655871;2507
15-03-2021 15:22:08;2515;1372;92.98685613231758;2515
15-03-2021 15:22:13;2523;1375;93.00182464940728;2523
15-03-2021 15:22:18;2531;1376;93.01100624121072;2531
15-03-2021 15:22:23;2538;1376;92.9891732464308;2538
15-03-2021 15:22:28;2547;1385;93.03769725312196;2547
15-03-2021 15:22:33;2555;1387;93.0495110804113;2555
15-03-2021 15:22:38;2563;1401;93.06125413025966;2563
15-03-2021 15:22:43;2572;1405;93.1063193079105;2572
15-03-2021 15:22:48;2581;1409;93.15391509921729;2581
15-03-2021 15:22:53;2589;1410;93.16244954755592;2589
15-03-2021 15:22:58;2594;1410;93.06330385497012;2594
15-03-2021 15:23:03;2603;1413;93.11060237521524;2603
15-03-2021 15:23:08;2612;1417;93.1548538957723;2612
15-03-2021 15:23:13;2619;1417;93.13048580290041;2619
15-03-2021 15:23:18;2628;1420;93.17441839857494;2628
15-03-2021 15:23:23;2637;1426;93.21809215764523;2637
15-03-2021 15:23:28;2645;1441;93.22900144519242;2645
15-03-2021 15:23:33;2653;1445;93.23711678367307;2653
15-03-2021 15:23:38;2661;1450;93.2479076749313;2661
15-03-2021 15:23:43;2670;1459;93.29357776799749;2670
15-03-2021 15:23:48;2679;1470;93.33627537516551;2679
15-03-2021 15:23:53;2688;1475;93.3814290925856;2688
15-03-2021 15:23:58;2693;1476;93.28776139400243;2693
15-03-2021 15:24:03;2703;1481;93.36733812706682;2703
15-03-2021 15:24:08;2710;1486;93.340451547406;2710
15-03-2021 15:24:13;2718;1487;93.35073499112582;2718
15-03-2021 15:24:18;2726;1495;93.36096032335999;2726
15-03-2021 15:24:23;2732;1495;93.30282435714739;2732
15-03-2021 15:24:28;2741;1499;93.35248139597233;2741
15-03-2021 15:24:33;2749;1507;93.35997418936829;2749
15-03-2021 15:24:38;2759;1510;93.43779280454453;2759
15-03-2021 15:24:43;2766;1517;93.41386123015167;2766
15-03-2021 15:24:48;2775;1524;93.45741934040966;2775
15-03-2021 15:24:53;2782;1530;93.43356600304539;2782
15-03-2021 15:24:58;2792;1534;93.50771137202757;2792
15-03-2021 15:25:03;2798;1535;93.44785166801269;2798
15-03-2021 15:25:08;2806;1535;93.45752889328762;2806
15-03-2021 15:25:13;2815;1548;93.5003681335369;2815
15-03-2021 15:25:18;2820;1552;93.41305464006862;2820
15-03-2021 15:25:23;2832;1555;93.55488751616139;2832
15-03-2021 15:25:28;2837;1557;93.46276753462087;2837
15-03-2021 15:25:33;2846;1557;93.50512810690121;2846
15-03-2021 15:25:38;2853;1563;93.48172742966452;2853
15-03-2021 15:25:43;2861;1566;93.4936766772899;2861
15-03-2021 15:25:48;2869;1571;93.50048341721906;2869
15-03-2021 15:25:53;2876;1572;93.47475163326529;2876
15-03-2021 15:25:58;2884;1574;93.48409787094946;2884
15-03-2021 15:26:03;2893;1580;93.52320300004128;2893
15-03-2021 15:26:08;2901;1583;93.53488347104752;2901
15-03-2021 15:26:13;2909;1595;93.54399579824182;2909
15-03-2021 15:26:18;2918;1604;93.58263044808695;2918
15-03-2021 15:26:23;2923;1604;93.49560989658242;2923
15-03-2021 15:26:28;2933;1609;93.57104497775244;2933
15-03-2021 15:26:33;2943;1619;93.64112191169866;2943
15-03-2021 15:26:38;2951;1622;93.64983656506708;2951
15-03-2021 15:26:43;2959;1626;93.65603536504972;2959
15-03-2021 15:26:48;2967;1630;93.66220155109835;2967
